feature,importance
referredby_8a858ec75c11a07a015c15742adc38b2,0.0
referredby_8a858ece5c88b58b015c88d082290889,0.0
referredby_8a858ece5cd05041015cd19d339000b9,0.0
referredby_8a858ed1594a282f01594a4d14f50a58,0.0
referredby_8a858ed45bc9a645015bcd35a32e7c91,0.0
referredby_8a858ec55b441639015b46eaa7c63973,0.0
referredby_8a858eec5d4232a5015d4623cd0a048b,0.0
referredby_8a858eed5a42df95015a45e2fcac6aa9,0.0
referredby_8a858eed5af07cc4015af0cc483126df,0.0
referredby_8a858eee58727169015873e03f24718a,0.0
referredby_8a858ef255c55fd60155c738de611535,0.0
referredby_8a858ef458d4a52e0158d858eb5d6456,0.0
